"hash_type","hash","rows","labels","sources","notes","sample_ids","sample_method","sample_path","sample_query"
"endpoint_shape_hash","646057a610ad3b845c83bc6f","1698","1","modsec_learn_sqli|openappsec_malicious|owasp_modsecurity","cmdexe|log4shell|modsec_learn_sqli:httpparams|modsec_learn_sqli:openappsec|modsec_learn_sqli:sqli_kaggle|modsec_learn_sqli:sqlmap|owasp_sqli:942100|shellshock|sqli|traversal","pos_malicious_003311|pos_modsec_learn_sqli_002161|pos_malicious_002630|pos_modsec_learn_sqli_001933|pos_modsec_learn_sqli_000175|pos_modsec_learn_sqli_000488|pos_modsec_learn_sqli_000259|pos_malicious_002464|pos_modsec_learn_sqli_001473|pos_malicious_003356","GET","/","p=%3Cacronym%20draggable%3D%22true%22%20ondragend%3D%22confirm%281%29%22%3Etest%3C/acronym%3E"
"endpoint_shape_hash","8e8a4a8ef8f569c57edddbe4","222","0|1","openappsec_legitimate|openappsec_malicious|owasp_modsecurity","log4shell|normal|owasp_xss:933110|shellshock|sqli|xxe","pos_malicious_002134|pos_malicious_002027|pos_malicious_004247|norm_legitimate_000862|pos_malicious_001212|pos_malicious_001138|norm_legitimate_001193|pos_malicious_001840|norm_legitimate_000766|norm_legitimate_001174","POST","/",""
"endpoint_shape_hash","d300647783e88882e456be1b","131","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal|csic_traversal|csic_xss","norm_csic_002320|norm_csic_002379|norm_csic_001783|norm_csic_001174|norm_csic_000338|norm_csic_000882|norm_csic_000089|norm_csic_000567|norm_csic_000129|norm_csic_000216","POST","/tienda1/publico/caracteristicas.jsp",""
"endpoint_shape_hash","ec72b3c35c52d24bc4e959dd","131","0|1","csic_2010","csic_anomalous|csic_normal|csic_xss","pos_csic_000143|norm_csic_000005|norm_csic_001847|pos_csic_001204|norm_csic_000203|pos_csic_002360|pos_csic_002625|pos_csic_001181|pos_csic_000198|norm_csic_000073","POST","/tienda1/publico/pagar.jsp",""
"endpoint_shape_hash","610721b960229153f027d7c8","127","0|1","csic_2010","csic_anomalous|csic_normal|csic_sqli|csic_xss","pos_csic_000178|norm_csic_002635|norm_csic_000117|norm_csic_000603|norm_csic_002795|norm_csic_002565|norm_csic_001861|norm_csic_001497|pos_csic_002319|pos_csic_000820","POST","/tienda1/publico/anadir.jsp",""
"endpoint_shape_hash","3e8a4a1a60565f474ff1e240","121","0|1","csic_2010","csic_anomalous|csic_normal|csic_sqli|csic_xss","pos_csic_000756|pos_csic_002953|norm_csic_002311|norm_csic_000597|norm_csic_000995|norm_csic_000356|norm_csic_000987|norm_csic_000177|norm_csic_002134|norm_csic_000801","POST","/tienda1/miembros/editar.jsp",""
"endpoint_shape_hash","918ba67fd8a290a7b9a6013a","118","0|1","csic_2010","csic_anomalous|csic_normal|csic_xss","pos_csic_001199|pos_csic_000439|norm_csic_001887|norm_csic_001754|norm_csic_001550|norm_csic_002269|norm_csic_002650|pos_csic_000759|norm_csic_001081|pos_csic_001811","POST","/tienda1/publico/autenticar.jsp",""
"endpoint_shape_hash","599bb59c14526ddc10584860","117","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal|csic_sqli|csic_traversal","pos_csic_000430|norm_csic_001232|norm_csic_002437|norm_csic_002362|norm_csic_001686|pos_csic_001178|pos_csic_000932|pos_csic_002986|pos_csic_001067|norm_csic_000692","POST","/tienda1/publico/registro.jsp",""
"endpoint_shape_hash","218b4bc18cd22ba6fd59a891","115","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal|csic_sqli|csic_traversal","norm_csic_000320|norm_csic_000183|norm_csic_001674|norm_csic_000009|norm_csic_001731|norm_csic_000343|norm_csic_001498|pos_csic_001612|norm_csic_000052|norm_csic_000757","POST","/tienda1/publico/entrar.jsp",""
"endpoint_shape_hash","c863a32c29d52d92c1931f92","112","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal","norm_csic_000581|pos_csic_001650|norm_csic_001955|pos_csic_001479|norm_csic_001971|norm_csic_000257|norm_csic_002184|norm_csic_000134|norm_csic_000123|norm_csic_002868","POST","/tienda1/publico/vaciar.jsp",""
