"hash_type","hash","rows","labels","sources","notes","sample_ids","sample_method","sample_path","sample_query"
"canonical_raw_request_hash","287c8df58ebfaf7d0f244a5f","54","0|1","csic_2010","csic_anomalous|csic_normal","norm_csic_001174|norm_csic_000338|norm_csic_000129|norm_csic_000441|norm_csic_000200|norm_csic_000091|norm_csic_002368|norm_csic_000295|norm_csic_000618|norm_csic_001945","POST","/tienda1/publico/caracteristicas.jsp",""
"endpoint_shape_hash","8e8a4a8ef8f569c57edddbe4","222","0|1","openappsec_legitimate|openappsec_malicious|owasp_modsecurity","log4shell|normal|owasp_xss:933110|shellshock|sqli|xxe","pos_malicious_002134|pos_malicious_002027|pos_malicious_004247|norm_legitimate_000862|pos_malicious_001212|pos_malicious_001138|norm_legitimate_001193|pos_malicious_001840|norm_legitimate_000766|norm_legitimate_001174","POST","/",""
"endpoint_shape_hash","d300647783e88882e456be1b","131","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal|csic_traversal|csic_xss","norm_csic_002320|norm_csic_002379|norm_csic_001783|norm_csic_001174|norm_csic_000338|norm_csic_000882|norm_csic_000089|norm_csic_000567|norm_csic_000129|norm_csic_000216","POST","/tienda1/publico/caracteristicas.jsp",""
"endpoint_shape_hash","ec72b3c35c52d24bc4e959dd","131","0|1","csic_2010","csic_anomalous|csic_normal|csic_xss","pos_csic_000143|norm_csic_000005|norm_csic_001847|pos_csic_001204|norm_csic_000203|pos_csic_002360|pos_csic_002625|pos_csic_001181|pos_csic_000198|norm_csic_000073","POST","/tienda1/publico/pagar.jsp",""
"endpoint_shape_hash","610721b960229153f027d7c8","127","0|1","csic_2010","csic_anomalous|csic_normal|csic_sqli|csic_xss","pos_csic_000178|norm_csic_002635|norm_csic_000117|norm_csic_000603|norm_csic_002795|norm_csic_002565|norm_csic_001861|norm_csic_001497|pos_csic_002319|pos_csic_000820","POST","/tienda1/publico/anadir.jsp",""
"endpoint_shape_hash","3e8a4a1a60565f474ff1e240","121","0|1","csic_2010","csic_anomalous|csic_normal|csic_sqli|csic_xss","pos_csic_000756|pos_csic_002953|norm_csic_002311|norm_csic_000597|norm_csic_000995|norm_csic_000356|norm_csic_000987|norm_csic_000177|norm_csic_002134|norm_csic_000801","POST","/tienda1/miembros/editar.jsp",""
"endpoint_shape_hash","918ba67fd8a290a7b9a6013a","118","0|1","csic_2010","csic_anomalous|csic_normal|csic_xss","pos_csic_001199|pos_csic_000439|norm_csic_001887|norm_csic_001754|norm_csic_001550|norm_csic_002269|norm_csic_002650|pos_csic_000759|norm_csic_001081|pos_csic_001811","POST","/tienda1/publico/autenticar.jsp",""
"endpoint_shape_hash","599bb59c14526ddc10584860","117","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal|csic_sqli|csic_traversal","pos_csic_000430|norm_csic_001232|norm_csic_002437|norm_csic_002362|norm_csic_001686|pos_csic_001178|pos_csic_000932|pos_csic_002986|pos_csic_001067|norm_csic_000692","POST","/tienda1/publico/registro.jsp",""
"endpoint_shape_hash","218b4bc18cd22ba6fd59a891","115","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal|csic_sqli|csic_traversal","norm_csic_000320|norm_csic_000183|norm_csic_001674|norm_csic_000009|norm_csic_001731|norm_csic_000343|norm_csic_001498|pos_csic_001612|norm_csic_000052|norm_csic_000757","POST","/tienda1/publico/entrar.jsp",""
"endpoint_shape_hash","c863a32c29d52d92c1931f92","112","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal","norm_csic_000581|pos_csic_001650|norm_csic_001955|pos_csic_001479|norm_csic_001971|norm_csic_000257|norm_csic_002184|norm_csic_000134|norm_csic_000123|norm_csic_002868","POST","/tienda1/publico/vaciar.jsp",""
"endpoint_shape_hash","be96cb64e07804cae3a36fe6","109","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal|csic_xss","norm_csic_002734|norm_csic_002154|pos_csic_002856|norm_csic_000577|norm_csic_000444|norm_csic_002073|norm_csic_000059|norm_csic_002074|norm_csic_002153|norm_csic_001395","GET","/tienda1/publico/autenticar.jsp","modo=entrar&login=shan-min&pwd=mu9d6c09&remember=on&B1=Entrar"
"endpoint_shape_hash","967394eefd65bc0447ed2f6a","107","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal|csic_sqli|csic_xss","norm_csic_000638|norm_csic_001145|norm_csic_002676|norm_csic_000847|norm_csic_002470|norm_csic_002418|norm_csic_002686|norm_csic_001294|norm_csic_002724|norm_csic_000519","GET","/tienda1/publico/pagar.jsp","modo=insertar&precio=4906&B1=Confirmar"
"endpoint_shape_hash","c83e810ec6ef25dd9fb57c82","106","0|1","csic_2010","csic_anomalous|csic_normal|csic_traversal","norm_csic_001742|norm_csic_000834|norm_csic_001151|norm_csic_000954|pos_csic_001398|norm_csic_002358|norm_csic_000287|norm_csic_000492|norm_csic_002494|norm_csic_002894","GET","/tienda1/publico/anadir.jsp","id=3&nombre=Vino+Rioja&precio=100&cantidad=61&B1=A%F1adir+al+carrito"
"endpoint_shape_hash","daee0ee5793ff8351649812a","106","0|1","csic_2010","csic_anomalous|csic_normal|csic_sqli|csic_traversal|csic_xss","norm_csic_001013|pos_csic_002832|norm_csic_001666|pos_csic_002474|norm_csic_000586|norm_csic_001554|norm_csic_001478|norm_csic_000110|norm_csic_001898|norm_csic_002145","GET","/tienda1/publico/entrar.jsp","errorMsg=Credenciales+incorrectas"
