"hash_type","hash","rows","labels","sources","notes","sample_ids","sample_method","sample_path","sample_query"
"endpoint_shape_hash","646057a610ad3b845c83bc6f","1698","1","modsec_learn_sqli|openappsec_malicious|owasp_modsecurity","cmdexe|log4shell|modsec_learn_sqli:httpparams|modsec_learn_sqli:openappsec|modsec_learn_sqli:sqli_kaggle|modsec_learn_sqli:sqlmap|owasp_sqli:942100|shellshock|sqli|traversal","pos_malicious_003311|pos_modsec_learn_sqli_002161|pos_malicious_002630|pos_modsec_learn_sqli_001933|pos_modsec_learn_sqli_000175|pos_modsec_learn_sqli_000488|pos_modsec_learn_sqli_000259|pos_malicious_002464|pos_modsec_learn_sqli_001473|pos_malicious_003356","GET","/","p=%3Cacronym%20draggable%3D%22true%22%20ondragend%3D%22confirm%281%29%22%3Etest%3C/acronym%3E"
"endpoint_shape_hash","8e8a4a8ef8f569c57edddbe4","222","0|1","openappsec_legitimate|openappsec_malicious|owasp_modsecurity","log4shell|normal|owasp_xss:933110|shellshock|sqli|xxe","pos_malicious_002134|pos_malicious_002027|pos_malicious_004247|norm_legitimate_000862|pos_malicious_001212|pos_malicious_001138|norm_legitimate_001193|pos_malicious_001840|norm_legitimate_000766|norm_legitimate_001174","POST","/",""
"endpoint_shape_hash","b4bff3f72f4f437bb0e97442","15","0|1","csic_2010|openappsec_legitimate|owasp_modsecurity","csic_anomalous|normal|owasp_xss:913100","pos_csic_001571|norm_legitimate_002300|norm_legitimate_001666|norm_legitimate_000090|norm_legitimate_002429|norm_legitimate_002825|norm_legitimate_000001|norm_legitimate_002709|norm_legitimate_000325|pos_csic_002500","GET","/",""
"endpoint_shape_hash","4354631b30eb7a90d4b489b6","6","1","exploitdb|owasp_modsecurity","lfi|owasp_rce:920270","pos_luongvd_001100|pos_owasp_modsec_002500|pos_luongvd_001233|pos_luongvd_001041|pos_luongvd_001193|pos_owasp_modsec_000361","GET","/index.php","option=com_picasa2gallery&controller=../../../../../../../../../../../../../../etc/passwd%00"
"endpoint_shape_hash","f7f96343dd30ede9f450c5fe","5","0","modsec_learn_legitimate|openappsec_legitimate","modsec_learn_legitimate|normal","norm_modsec_learn_002361|norm_modsec_learn_000653|norm_legitimate_002372|norm_legitimate_002208|norm_legitimate_002257","GET","/","account_id=1043&partner_id=1048&uid=k-Ji1muuMxpufyYOmS0T066CazKtNvlsI-6cTRfQ&custom=&tag_format=img&tag_action=sync&custom=&cb=365e2042-073f-4372-8851-c8130dde86fa"
"endpoint_shape_hash","a5730e9028ff484f747c6f5d","3","0","modsec_learn_legitimate|openappsec_legitimate","modsec_learn_legitimate|normal","norm_legitimate_002030|norm_modsec_learn_001567|norm_legitimate_002370","GET","/","shop=www.agoda.com_Activities&sid=bec89482-98ee-48c0-b8e9-96abf0494f9a"
"payload_family_hash","b8962b2272eda3de714a3e3d","16","0|1","csic_2010|openappsec_legitimate|owasp_modsecurity","csic_anomalous|normal|owasp_xss:913100|owasp_xss:933110","pos_csic_001571|norm_legitimate_002300|norm_legitimate_001666|norm_legitimate_000090|norm_legitimate_002429|norm_legitimate_002825|norm_legitimate_000001|norm_legitimate_002709|norm_legitimate_000325|pos_csic_002500","GET","/",""
"payload_family_hash","22116f0f9264b45857508704","2","1","modsec_learn_sqli|openappsec_malicious","modsec_learn_sqli:openappsec|sqli","pos_malicious_001986|pos_modsec_learn_sqli_001066","POST","/",""
"payload_family_hash","4281e837cea3fc95b53bad02","2","1","modsec_learn_sqli|openappsec_malicious","modsec_learn_sqli:openappsec|sqli","pos_modsec_learn_sqli_001070|pos_malicious_001306","GET","/","p=%281%29and%28SELECT%20%2A%20from%20db.users%29%3D%281%29"
"payload_family_hash","67c8cd955cde4188aa1f25de","2","1","modsec_learn_sqli|openappsec_malicious","modsec_learn_sqli:openappsec|sqli","pos_malicious_001725|pos_modsec_learn_sqli_001095","GET","/","p=x%27%20or%201%3D1%20or%20%27x%27%3D%27y"
"payload_family_hash","79a1273defae8608035cb975","2","1","modsec_learn_sqli|openappsec_malicious","modsec_learn_sqli:openappsec|sqli","pos_modsec_learn_sqli_001068|pos_malicious_001373","GET","/","p=%27%29%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20--"
"payload_family_hash","8942b94a4fcc30b6197b5b61","2","1","modsec_learn_sqli|openappsec_malicious","modsec_learn_sqli:openappsec|sqli","pos_malicious_001894|pos_modsec_learn_sqli_001087","POST","/",""
"payload_family_hash","fd92489ce4b3dfdd18352896","2","1","modsec_learn_sqli|openappsec_malicious","modsec_learn_sqli:openappsec|sqli","pos_malicious_002104|pos_modsec_learn_sqli_001094","POST","/",""
